专业, 专业大类, 有该专业的学校数量, 物理, 化学, 生物, 历史, 地理, 政治, 技术, 没有学科要求的学校数量
道路与桥梁工程方向,土木类,1,1,0,0,0,0,0,0,0
考古学(文物鉴定方向),历史学类,1,0,0,0,1,1,0,0,0
应用化学(新能源材料方向),应用化学(新能源材料方向),1,1,1,0,0,0,0,0,0
治安管理,治安管理,1,0,0,0,0,0,1,0,0
学前教育,学前教育,168,1,1,2,7,4,3,0,161
农业建筑环境与能源工程,机械类,3,3,2,1,0,0,0,0,0
会计信息管理,会计信息管理,10,0,0,0,0,0,0,1,9
德语(涉外法商),德语(涉外法商),1,0,0,0,0,0,0,0,1
会计学(常州校区),会计学(常州校区),1,0,0,0,0,0,0,0,1
电子信息科学与技术(按大类招生),电子信息科学与技术(按大类招生),1,1,0,0,0,0,0,0,0
体能训练,体育学类,1,0,0,0,0,0,0,0,1
煤矿开采技术,煤矿开采技术,3,0,0,0,0,0,0,0,3
藏医学,藏医学,1,1,1,1,0,0,0,0,0
口腔医学(“5+3”一体化),口腔医学(“5+3”一体化),2,1,2,1,0,0,0,0,0
物联网工程(“互联网＋”复合培养实验班),物联网工程(“互联网＋”复合培养实验班),1,1,0,0,0,0,0,0,0
电气工程及其自动化(卓越班),电气工程及其自动化(卓越班),1,1,0,0,0,0,0,0,0
税收学(税务师方向),财政学类,1,0,0,0,0,0,0,0,1
勘查技术与工程(地球物理勘探方向),勘查技术与工程(地球物理勘探方向),1,1,1,0,0,0,0,0,0
轮机工程(船机修造方向),轮机工程(船机修造方向),1,1,1,0,0,0,0,1,0
汉语言文学(中外文化交流),汉语言文学(中外文化交流),1,0,0,0,0,0,0,0,1
光电技术应用,光电技术应用,2,1,0,0,0,0,0,0,1
产品设计(展示设计),产品设计(展示设计),1,0,0,0,0,0,0,0,1
历史学(创新实验班),历史学类,1,0,0,0,1,1,0,0,0
食品科学与工程(国家卓越工程师计划),食品科学与工程类,1,1,1,1,0,0,0,0,0
工商企业管理(人力资源管理方向),工商企业管理(人力资源管理方向),1,0,0,0,0,0,0,0,1
产品设计(信息设计),设计学类,1,0,0,0,0,0,0,0,1
文秘(建筑文秘与档案管理),文秘(建筑文秘与档案管理),1,0,0,0,0,0,0,0,1
物流金融管理,物流金融管理,2,0,0,0,0,0,0,0,2
应用化工技术,应用化工技术,21,5,6,6,0,0,0,1,15
放射治疗技术,放射治疗技术,1,1,0,0,0,0,0,0,0
飞行器设计与工程,飞行器设计与工程,20,20,1,0,0,0,0,0,0
电气工程及其自动化,电气工程及其自动化,346,346,4,0,0,0,0,4,0
医疗器械维护与管理,医疗器械维护与管理,1,0,0,0,0,0,0,0,1
软件工程(“互联网＋”实验班),软件工程(“互联网＋”实验班),1,1,0,0,0,0,0,0,0
机械工程(卓工超豪示范班),机械工程(卓工超豪示范班),1,1,0,0,0,0,0,0,0
保险(运营支持与管理),保险(运营支持与管理),1,0,0,0,0,0,0,0,1
城市轨道交通通信信号技术,城市轨道交通通信信号技术,15,2,0,0,0,0,0,0,13
工程造价(建筑工程造价方向),工程造价(建筑工程造价方向),1,0,0,0,0,0,0,0,1
城市轨道交通车辆技术,城市轨道交通车辆技术,17,2,1,0,0,0,0,1,15
音乐表演(民乐—少数民族乐器),音乐表演(民乐—少数民族乐器),1,0,0,0,0,0,0,0,1
化学工程与工业生物工程(含高分子方向),工科试验班(环境、化工与新材料类),1,0,1,0,0,0,0,0,0
核物理,物理学类,5,5,0,0,0,0,0,0,0
法学(财经法务方向),法学(财经法务方向),1,0,0,0,0,0,0,0,1
计算机应用技术(智能家居方向),计算机应用技术(智能家居方向),1,0,0,0,0,0,0,0,1
地球物理勘探技术,地球物理勘探技术,1,0,0,0,0,0,0,0,1
道路桥梁与渡河工程(国际工程班),道路桥梁与渡河工程(国际工程班),1,1,0,0,0,0,0,0,0
朝鲜语,朝鲜语,49,0,0,0,0,0,0,0,49
交通运输(航空管制，飞行运行管理、机场现场运行管理),交通运输(航空管制，飞行运行管理、机场现场运行管理),1,1,0,0,0,0,0,0,0
通信工程(中兴通讯班),通信工程(中兴通讯班),1,1,0,0,0,0,0,0,0
图书馆学,图书情报与档案管理类,6,2,1,1,2,0,0,0,4
汽车制造与装配技术,汽车制造与装配技术,33,8,1,0,0,0,0,3,25
城乡规划(五年制),工科试验班,2,2,0,0,1,1,0,0,0
心理学类,理科试验班类,1,1,0,0,0,0,0,0,0
应用化学(张大煜化学菁英班),应用化学(张大煜化学菁英班),1,0,1,0,0,0,0,0,0
农村区域发展,农村区域发展,9,1,1,1,0,0,0,0,8
空间信息与数字技术,计算机类(计算机与人工智能),11,11,0,0,0,0,0,0,0
软件技术(人工智能),计算机类(软件技术开发),1,0,0,0,0,0,0,0,1
历史学类,文科试验班类,1,0,0,0,0,0,0,0,1
物流工程,物流工程,47,23,12,3,0,3,0,0,24
税收学,税收学,34,1,0,0,1,0,0,0,33
播音与主持艺术(航空播音方向),播音与主持艺术(航空播音方向),1,0,0,0,0,0,0,0,1
土木工程(智能建造信息化方向),土木工程(智能建造信息化方向),1,1,0,0,0,0,0,0,0
经济学(创新班),经济学(创新班),1,0,0,0,0,0,0,0,1
汉语言文学(与法学专业复合班),汉语言文学(与法学专业复合班),1,0,0,0,0,0,0,0,1
